Date,Closing Value
12/31/2014,4736.049805
12/30/2014,4777.439941
12/29/2014,4806.910156
12/26/2014,4806.859863
12/24/2014,4773.470215
12/23/2014,4765.419922
12/22/2014,4781.419922
12/19/2014,4765.379883
12/18/2014,4748.399902
12/17/2014,4644.310059
12/16/2014,4547.830078
12/15/2014,4605.160156
12/12/2014,4653.600098
12/11/2014,4708.160156
12/10/2014,4684.02002
12/9/2014,4766.470215
12/8/2014,4740.689941
12/5/2014,4780.759766
12/4/2014,4769.439941
12/3/2014,4774.470215
12/2/2014,4755.810059
12/1/2014,4727.350098
11/28/2014,4791.629883
11/26/2014,4787.319824
11/25/2014,4758.25
11/24/2014,4754.890137
11/21/2014,4712.970215
11/20/2014,4701.870117
11/19/2014,4675.709961
11/18/2014,4702.439941
11/17/2014,4671
11/14/2014,4688.540039
11/13/2014,4680.140137
11/12/2014,4675.140137
11/11/2014,4660.560059
11/10/2014,4651.620117
11/7/2014,4632.529785
11/6/2014,4638.470215
11/5/2014,4620.720215
11/4/2014,4623.640137
11/3/2014,4638.910156
10/31/2014,4630.740234
10/30/2014,4566.140137
10/29/2014,4549.22998
10/28/2014,4564.290039
10/27/2014,4485.930176
10/24/2014,4483.720215
10/23/2014,4452.790039
10/22/2014,4382.850098
10/21/2014,4419.47998
10/20/2014,4316.069824
10/17/2014,4258.439941
10/16/2014,4217.390137
10/15/2014,4215.319824
10/14/2014,4227.169922
10/13/2014,4213.660156
10/10/2014,4276.240234
10/9/2014,4378.339844
10/8/2014,4468.589844
10/7/2014,4385.200195
10/6/2014,4454.799805
10/3/2014,4475.620117
10/2/2014,4430.200195
10/1/2014,4422.089844
9/30/2014,4493.390137
9/29/2014,4505.850098
9/26/2014,4512.189941
9/25/2014,4466.75
9/24/2014,4555.220215
9/23/2014,4508.689941
9/22/2014,4527.689941
9/19/2014,4579.790039
9/18/2014,4593.430176
9/17/2014,4562.189941
9/16/2014,4552.759766
9/15/2014,4518.899902
9/12/2014,4567.600098
9/11/2014,4591.810059
9/10/2014,4586.52002
9/9/2014,4552.290039
9/8/2014,4592.290039
9/5/2014,4582.899902
9/4/2014,4562.290039
9/3/2014,4572.560059
9/2/2014,4598.189941
8/29/2014,4580.27002
8/28/2014,4557.700195
8/27/2014,4569.620117
8/26/2014,4570.640137
8/25/2014,4557.350098
8/22/2014,4538.549805
8/21/2014,4532.100098
8/20/2014,4526.47998
8/19/2014,4527.509766
8/18/2014,4508.310059
8/15/2014,4464.930176
8/14/2014,4453
8/13/2014,4434.129883
8/12/2014,4389.25
8/11/2014,4401.330078
8/8/2014,4370.899902
8/7/2014,4334.970215
8/6/2014,4355.049805
8/5/2014,4352.839844
8/4/2014,4383.890137
8/1/2014,4352.640137
7/31/2014,4369.77002
7/30/2014,4462.899902
7/29/2014,4442.700195
7/28/2014,4444.910156
7/25/2014,4449.560059
7/24/2014,4472.109863
7/23/2014,4473.700195
7/22/2014,4456.02002
7/21/2014,4424.700195
7/18/2014,4432.149902
7/17/2014,4363.450195
7/16/2014,4425.970215
7/15/2014,4416.390137
7/14/2014,4440.419922
7/11/2014,4415.490234
7/10/2014,4396.200195
7/9/2014,4419.029785
7/8/2014,4391.459961
7/7/2014,4451.529785
7/3/2014,4485.930176
7/2/2014,4457.72998
7/1/2014,4458.649902
6/30/2014,4408.180176
6/27/2014,4397.930176
6/26/2014,4379.049805
6/25/2014,4379.759766
6/24/2014,4350.350098
6/23/2014,4368.680176
6/20/2014,4368.040039
6/19/2014,4359.330078
6/18/2014,4362.839844
6/17/2014,4337.22998
6/16/2014,4321.100098
6/13/2014,4310.649902
6/12/2014,4297.629883
6/11/2014,4331.930176
6/10/2014,4338
6/9/2014,4336.240234
6/6/2014,4321.399902
6/5/2014,4296.22998
6/4/2014,4251.640137
6/3/2014,4234.080078
6/2/2014,4237.200195
5/30/2014,4242.620117
5/29/2014,4247.950195
5/28/2014,4225.080078
5/27/2014,4237.069824
5/23/2014,4185.810059
5/22/2014,4154.339844
5/21/2014,4131.540039
5/20/2014,4096.890137
5/19/2014,4125.810059
5/16/2014,4090.590088
5/15/2014,4069.290039
5/14/2014,4100.629883
5/13/2014,4130.169922
5/12/2014,4143.859863
5/9/2014,4071.870117
5/8/2014,4051.5
5/7/2014,4067.669922
5/6/2014,4080.76001
5/5/2014,4138.060059
5/2/2014,4123.899902
5/1/2014,4127.450195
4/30/2014,4114.560059
4/29/2014,4103.540039
4/28/2014,4074.399902
4/25/2014,4075.560059
4/24/2014,4148.339844
4/23/2014,4126.970215
4/22/2014,4161.459961
4/21/2014,4121.549805
4/17/2014,4095.52002
4/16/2014,4086.22998
4/15/2014,4034.159912
4/14/2014,4022.689941
4/11/2014,3999.72998
4/10/2014,4054.110107
4/9/2014,4183.899902
4/8/2014,4112.990234
4/7/2014,4079.75
4/4/2014,4127.72998
4/3/2014,4237.740234
4/2/2014,4276.459961
4/1/2014,4268.040039
3/31/2014,4198.990234
3/28/2014,4155.759766
3/27/2014,4151.22998
3/26/2014,4173.580078
3/25/2014,4234.27002
3/24/2014,4226.390137
3/21/2014,4276.790039
3/20/2014,4319.290039
3/19/2014,4307.600098
3/18/2014,4333.310059
3/17/2014,4279.950195
3/14/2014,4245.399902
3/13/2014,4260.419922
3/12/2014,4323.330078
3/11/2014,4307.189941
3/10/2014,4334.450195
3/7/2014,4336.220215
3/6/2014,4352.129883
3/5/2014,4357.970215
3/4/2014,4351.970215
3/3/2014,4277.299805
2/28/2014,4308.120117
2/27/2014,4318.930176
2/26/2014,4292.060059
2/25/2014,4287.589844
2/24/2014,4292.970215
2/21/2014,4263.410156
2/20/2014,4267.549805
2/19/2014,4237.950195
2/18/2014,4272.779785
2/14/2014,4244.02002
2/13/2014,4240.669922
2/12/2014,4201.290039
2/11/2014,4191.049805
2/10/2014,4148.169922
2/7/2014,4125.859863
2/6/2014,4057.120117
2/5/2014,4011.550049
2/4/2014,4031.52002
2/3/2014,3996.959961
1/31/2014,4103.879883
1/30/2014,4123.129883
1/29/2014,4051.429932
1/28/2014,4097.959961
1/27/2014,4083.610107
1/24/2014,4128.169922
1/23/2014,4218.879883
1/22/2014,4243
1/21/2014,4225.759766
1/17/2014,4197.580078
1/16/2014,4218.689941
1/15/2014,4214.879883
1/14/2014,4183.02002
1/13/2014,4113.299805
1/10/2014,4174.669922
1/9/2014,4156.189941
1/8/2014,4165.609863
1/7/2014,4153.180176
1/6/2014,4113.680176
1/3/2014,4131.910156
1/2/2014,4143.069824
12/31/2013,4176.589844
12/30/2013,4154.200195
12/27/2013,4156.589844
12/26/2013,4167.180176
12/24/2013,4155.419922
12/23/2013,4148.899902
12/20/2013,4104.740234
12/19/2013,4058.139893
12/18/2013,4070.060059
12/17/2013,4023.679932
12/16/2013,4029.52002
12/13/2013,4000.97998
12/12/2013,3998.399902
12/11/2013,4003.810059
12/10/2013,4060.48999
12/9/2013,4068.75
12/6/2013,4062.52002
12/5/2013,4033.169922
12/4/2013,4038
12/3/2013,4037.199951
12/2/2013,4045.26001
11/29/2013,4059.889893
11/27/2013,4044.75
11/26/2013,4017.75
11/25/2013,3994.570068
11/22/2013,3991.649902
11/21/2013,3969.159912
11/20/2013,3921.27002
11/19/2013,3931.550049
11/18/2013,3949.070068
11/15/2013,3985.969971
11/14/2013,3972.73999
11/13/2013,3965.580078
11/12/2013,3919.919922
11/11/2013,3919.790039
11/8/2013,3919.22998
11/7/2013,3857.330078
11/6/2013,3931.949951
11/5/2013,3939.860107
11/4/2013,3936.590088
11/1/2013,3922.040039
10/31/2013,3919.709961
10/30/2013,3930.620117
10/29/2013,3952.340088
10/28/2013,3940.129883
10/25/2013,3943.360107
10/24/2013,3928.959961
10/23/2013,3907.070068
10/22/2013,3929.570068
10/21/2013,3920.050049
10/18/2013,3914.280029
10/17/2013,3863.149902
10/16/2013,3839.429932
10/15/2013,3794.01001
10/14/2013,3815.280029
10/11/2013,3791.870117
10/10/2013,3760.75
10/9/2013,3677.780029
10/8/2013,3694.830078
10/7/2013,3770.379883
10/4/2013,3807.75
10/3/2013,3774.340088
10/2/2013,3815.02002
10/1/2013,3817.97998
9/30/2013,3771.47998
9/27/2013,3781.590088
9/26/2013,3787.429932
9/25/2013,3761.100098
9/24/2013,3768.25
9/23/2013,3765.290039
9/20/2013,3774.72998
9/19/2013,3789.379883
9/18/2013,3783.639893
9/17/2013,3745.699951
9/16/2013,3717.850098
9/13/2013,3722.179932
9/12/2013,3715.969971
9/11/2013,3725.01001
9/10/2013,3729.02002
9/9/2013,3706.179932
9/6/2013,3660.01001
9/5/2013,3658.780029
9/4/2013,3649.040039
9/3/2013,3612.610107
8/30/2013,3589.870117
8/29/2013,3620.300049
8/28/2013,3593.350098
8/27/2013,3578.52002
8/26/2013,3657.570068
8/23/2013,3657.790039
8/22/2013,3638.709961
8/21/2013,3599.790039
8/20/2013,3613.590088
8/19/2013,3589.090088
